date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:41:50	4258/4258	---M--	200	added ('OK')	image/png	etag:%2210a2-5bcc711705e7b%22	https://webdesign-croydon.co.uk/_templates/assets/images/web-design-icon.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/web-design-icon.png	(from https://webdesign-croydon.co.uk/)
02:41:51	5942/5942	---M--	200	added ('OK')	image/png	etag:%221736-5bcc710e0bc25%22	https://webdesign-croydon.co.uk/_templates/assets/images/digital-marketing-icon.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/digital-marketing-icon.png	(from https://webdesign-croydon.co.uk/)
02:41:52	6244/6244	---M--	200	added ('OK')	image/png	etag:%221864-5bcc710f6ff7d%22	https://webdesign-croydon.co.uk/_templates/assets/images/graphic-design-icon.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/graphic-design-icon.png	(from https://webdesign-croydon.co.uk/)
02:41:53	7036/7036	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%221b7c-5bcc71150f73e%22	https://webdesign-croydon.co.uk/_templates/assets/images/seo-icon.svg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/seo-icon.svg	(from https://webdesign-croydon.co.uk/)
02:41:55	901596/901596	---M--	200	added ('OK')	image/png	etag:%22dc1dc-5bcc71161089d%22	https://webdesign-croydon.co.uk/_templates/assets/images/sheryls-art-deco-screenshot.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/sheryls-art-deco-screenshot.png	(from https://webdesign-croydon.co.uk/)
02:41:55	291486/291486	---M--	200	added ('OK')	image/png	etag:%224729e-5bcc7113ddc83%22	https://webdesign-croydon.co.uk/_templates/assets/images/pure-white-lines-screenshot.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/pure-white-lines-screenshot.png	(from https://webdesign-croydon.co.uk/)
02:41:56	444100/444100	---M--	200	added ('OK')	image/png	etag:%226c6c4-5bcc711187de5%22	https://webdesign-croydon.co.uk/_templates/assets/images/not-in-the-supermarket-screenshot.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/not-in-the-supermarket-screenshot.png	(from https://webdesign-croydon.co.uk/)
02:41:57	843/843	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2234b-5bcc7114765f8%22	https://webdesign-croydon.co.uk/_templates/assets/images/resknow-logo.svg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/resknow-logo.svg	(from https://webdesign-croydon.co.uk/)
02:41:58	221/221	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dd-5bcc711994f2e%22	https://webdesign-croydon.co.uk/_templates/assets/js/script.js?_bpv=1614938063	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/js/script1365.js	(from https://webdesign-croydon.co.uk/)
02:41:59	4200/4200	---MC-	200	added ('OK')	application/javascript,	date:Tue,%2015%20Nov%202022%2002:41:59%20GMT	https://goform.app/validate.js	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/goform.app/validate.js	(from https://webdesign-croydon.co.uk/)
02:42:00	164/164	---MCZ	302	error ('Found')	text/html	date:Tue,%2015%20Nov%202022%2002:42:00%20GMT	https://unpkg.com/simple-cookie-consent-banner/cookie-consent-banner.js	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/unpkg.com/simple-cookie-consent-banner/cookie-consent-banner.16.delayed	(from https://webdesign-croydon.co.uk/)
02:42:00	3058/3058	---MCZ	200	added ('OK')	application/javascript	etag:%22bf2-LJg25dEjyW/HIXo5dGRKMTWn+t4%22	https://unpkg.com/simple-cookie-consent-banner@1.1.0/cookie-consent-banner.js	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/unpkg.com/simple-cookie-consent-banner@1.1.0/cookie-consent-banner.js	(from https://webdesign-croydon.co.uk/)
02:42:03	1604302/1604302	---M--	200	added ('OK')	image/png	etag:%22187ace-5bcc71132c0b3%22	https://webdesign-croydon.co.uk/_templates/assets/images/porchetech-screenshot.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/porchetech-screenshot.png	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:03	321706/321706	---M--	200	added ('OK')	image/png	etag:%224e8aa-5bcc7118a5329%22	https://webdesign-croydon.co.uk/_templates/assets/images/woodside-timber-screenshot.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/woodside-timber-screenshot.png	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:04	183333/183333	---M--	200	added ('OK')	image/png	etag:%222cc25-5bcc7116b49ac%22	https://webdesign-croydon.co.uk/_templates/assets/images/visions-and-dreams-screenshot.png	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/visions-and-dreams-screenshot.png	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:05	56143/56143	---M--	200	added ('OK')	image/jpeg	etag:%22db4f-5bcc7117fc011%22	https://webdesign-croydon.co.uk/_templates/assets/images/woman-at-desk.jpg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/woman-at-desk.jpg	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
02:42:06	351656/351656	---M--	200	added ('OK')	image/jpeg	etag:%2255da8-5bcc711089b66%22	https://webdesign-croydon.co.uk/_templates/assets/images/home-jumbotron.jpg	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/webdesign-croydon.co.uk/_templates/assets/images/home-jumbotron.jpg	(from https://webdesign-croydon.co.uk/_templates/assets/css/style.css?_bpv=1617031986)
